Trip #no.,Duration,Cost of Travel(Entire Trip),Mode of Travel,Stay,First Name,Last Name,Date of Birth,Address,Age,Sex,Nationality,Date of Travel
55,1,20111,Flight,Hotel,Cristina,Fuentes,6/14/1914,"5143 Pope Camp Apt. 028
Lake Emily, UT 71371",74,Non-Binary,Lao People's Democratic Republic,9/13/2022
288,5,29681,Car,Hotel,Patricia,Young,9/25/1923,"716 Dominguez Row Suite 775
South Tiffanyborough, WV 27800",19,Female,Gabon,9/4/2021
291,7,24950,Flight,Airbnb,Christina,Kirby,1/2/1935,"PSC 4600, Box 1237
APO AE 32510",36,Female,Syrian Arab Republic,1/25/2021
131,19,18676,Roadtrip,Airbnb,Michael,Hudson,4/21/1982,"7013 Bryant Club Suite 695
South Tina, WI 26739",38,Non-Binary,Afghanistan,1/28/2022
281,28,18899,Flight,Airbnb,Francisco,Hensley,6/29/1913,"074 Scott Brook Suite 700
Lukeville, VA 46541",38,Non-Binary,Uruguay,10/21/2021
71,17,28326,Car,Other,Jesus,Jarvis,8/27/1986,"275 Marie Square
Cheyenneshire, CO 98493",30,Non-Binary,Iraq,1/25/2022
173,8,16642,Flight,Airbnb,Debra,Mitchell,2/17/1927,"05543 Scott Mount Suite 815
Priceland, VI 56675",25,Male,San Marino,8/7/2022
138,3,16551,Flight,Other,Joseph,Moore,9/17/1988,"PSC 1174, Box 8855
APO AE 37363",38,Transgender,Macao,1/4/2021
154,27,25299,Car,Airbnb,Jeffrey,Key,2/13/1913,"4725 Ferguson Hill Suite 157
Eriktown, PR 09538",25,Female,Kyrgyz Republic,6/28/2022
95,27,14897,Train,Airbnb,John,Beck,3/4/2003,"890 Marshall Vista
Alvarezburgh, NM 14496",53,Female,New Zealand,1/31/2020
68,8,19052,Cruise,Hotel,Andre,Elliott,1/14/2000,"091 Gary Falls
Bryanview, AZ 45401",39,Transgender,Belarus,10/11/2020
267,6,27610,Roadtrip,Hotel,Joshua,Jones,8/29/1979,"586 Ryan Prairie
South Ashley, VT 42522",31,Non-Binary,Andorra,11/14/2020
